ems_id,station_name,airzone,reporting_name
220205,Powell River Wildwood,Georgia Strait,Powell River-Wildwood
310162,Port Moody Rocky Point Park,Lower Fraser Valley,Port Moody
310177,Burnaby Kensington Park,Lower Fraser Valley,Burnaby-Kensington
310179,North Vancouver Second Narrows,Lower Fraser Valley,N. Vancouver-2nd Narrows
500886,Kelowna College,Southern Interior,Kelowna
550502,Williams Lake Columneetza School,Central Interior,Williams Lake
605008,Kamloops Federal Building,Southern Interior,Kamloops-Fed. Bldg
E206271,Surrey East,Lower Fraser Valley,Surrey
E206589,Smithers St Josephs,Central Interior,Smithers
E207417,Richmond South,Lower Fraser Valley,Richmond South
E207418,Burnaby South,Lower Fraser Valley,Burnaby South
E207723,North Delta,Lower Fraser Valley,North Delta
E208096,Quesnel Senior Secondary,Central Interior,Quesnel
E209177,North Vancouver Mahon Park,Lower Fraser Valley,N. Vancouver-Mahon Park
E209178,Langley Central,Lower Fraser Valley,Langley
E216670,Kitimat Riverlodge,Coastal,Kitimat-Riverlodge
E220891,Chilliwack Airport,Lower Fraser Valley,Chilliwack
E222520,Elk Falls Dogwood,Georgia Strait,Campbell River
E222778,Langdale Elementary,Georgia Strait,Langdale
E223756,Hope Airport,Lower Fraser Valley,Hope
E225267,Burns Lake Fire Centre,Central Interior,Burns Lake
E227431,Whistler Meadow Park,Georgia Strait,Whistler
E229797,Nanaimo Labieux Road,Georgia Strait,Nanaimo
E231866,Victoria Topaz,Georgia Strait,Victoria-Topaz
E232244,Pitt Meadows Meadowlands School,Lower Fraser Valley,Pitt Meadows
E232246,Vancouver International Airport #2,Lower Fraser Valley,Richmond-Airport
E234670,Duncan Deykin Avenue,Georgia Strait,Duncan-Deykin Ave
E238212,Abbotsford Central,Lower Fraser Valley,Abbotsford-Mill Lake
E240337,Colwood City Hall,Georgia Strait,Colwood
E249492,Vernon Science Centre,Southern Interior,Vernon
E263701,Grand Forks City Hall,Southern Interior,Grand Forks
E269223,Vanderhoof Courthouse,Central Interior,Vanderhoof
E271963,Powell River James Thomson School,Georgia Strait,Powell River-James Thomson School
E273483,Port Alberni Elementary,Georgia Strait,Port Alberni
E275843,Horseshoe Bay,Lower Fraser Valley,Horseshoe Bay
E277329,Duncan Cairnsmore,Georgia Strait,Duncan-Cairnsmore
E283549,Tsawwassen,Lower Fraser Valley,Tsawwassen
E285829,Courtenay Elementary School,Georgia Strait,Courtenay
E289309,Abbotsford A Columbia Street,Lower Fraser Valley,Abbotsford-Airport
E292149,Golden Helipad,Southern Interior,Golden
E293810,Agassiz Municipal Hall,Lower Fraser Valley,Agassiz
E296370,Crofton Georgia Hts,Georgia Strait,Crofton-Georgia Hts
E299830,Fort St John Key Learning Centre,Northeast,Fort St. John
E300350,Terrace Skeena Middle School,Coastal,Terrace-Skeena
E302130,Mission School Works Yard,Lower Fraser Valley,Mission
E303935,Kamloops Aberdeen,Southern Interior,Kamloops-Aberdeen
E304570,Squamish Elementary,Georgia Strait,Squamish-Elementary
E304590,Lavington Baptist Church,Southern Interior,Lavington
E308566,New Westminster Sapperton Park,Lower Fraser Valley,New Westminster
M107004,Houston Firehall,Central Interior,Houston
